              Formatid                                                                         Magics                                                                                                                                                                                    Magic Names                                                                                                                               
image/grStar                              , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/goDotClip                           , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/goDot4bt                            , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/gimpPattern                         , "x-fmt/76"                                                                                                          [CorelDraw Pattern]                                                                                                                                                                                                                                                
image/gimpBrush                           , "x-fmt/342", "fmt/664"                                                                                              [Microsoft FoxPro Memo] [Gerber Format]                                                                                                                                                                                                                            
image/gif                                 , "fmt/3", "fmt/4"                                                                                                    [Graphics Interchange Format (87a)] [Graphics Interchange Format (89a)]                                                                                                                                                                                            
image/ghg                                 , "fmt/1280"                                                                                                          [NCH Dictation Audio File]                                                                                                                                                                                                                                         
image/gemMetafile                         , "fmt/542"                                                                                                           [GEM Metafile Format (1.01)]                                                                                                                                                                                                                                       
image/gem                                 , "x-fmt/159"                                                                                                         [GEM Image]                                                                                                                                                                                                                                                        
image/g9b                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/fxg                                 , "fmt/101"                                                                                                           [Extensible Markup Language (1.0)]                                                                                                                                                                                                                                 
image/funnyPaint                          , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/freeHandDrawing                     , "x-fmt/303", "x-fmt/304", "fmt/544", "fmt/1449", "fmt/1450"                                                         [Aldus Freehand Drawing (3)] [Aldus Freehand Drawing (4)] [Macromedia FreeHand (7)] [Aldus FreeHand Drawing (1)] [Aldus FreeHand Drawing (2)]                                                                                                                      
image/fractalImageFormat                  , "x-fmt/320"                                                                                                         [Fractal Image]                                                                                                                                                                                                                                                    
image/flif                                , "fmt/872"                                                                                                           [Free Lossless Image Format (FLIF)]                                                                                                                                                                                                                                
image/fits                                , "x-fmt/383"                                                                                                         [Flexible Image Transport System]                                                                                                                                                                                                                                  
image/fig                                 , "fmt/43", "x-fmt/207", "x-fmt/208"                                                                                  [JPEG File Interchange Format (1.01)] [X-Windows Bitmap Image (X11)] [X-Windows Pixmap Image (X10)]                                                                                                                                                                
image/farbfeld                            , "fmt/1133"                                                                                                          [Farbfeld Image Format]                                                                                                                                                                                                                                            
image/exr                                 , "fmt/1001"                                                                                                          [OpenEXR (2)]                                                                                                                                                                                                                                                      
image/esm                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/eps                                 , "x-fmt/20", "fmt/122", "fmt/123", "fmt/124", "fmt/417", "fmt/418"                                                   [Adobe Illustrator (1.0 / 1.1)] [Encapsulated PostScript File Format (1.2)] [Encapsulated PostScript File Format (2.0)] [Encapsulated PostScript File Format (3)] [Adobe Illustrator (88)] [Adobe Illustrator (3.0 / 3.2)]                                         
image/erf                                 , "fmt/641"                                                                                                           [Epson Raw Image Format]                                                                                                                                                                                                                                           
image/emf                                 , "x-fmt/153", "fmt/345"                                                                                              [Microsoft Windows Enhanced Metafile (1.0)] [Microsoft Windows Enhanced Metafile (3.0)]                                                                                                                                                                            
image/dxf                                 , "fmt/63", "fmt/77", "fmt/435"                                                                                       [Drawing Interchange File Format (ASCII) (Generic)] [Drawing Interchange File Format (ASCII) (R14)] [Drawing Interchange File Format (ASCII) (2010/2011/2012)]                                                                                                     
image/dwg                                 , "fmt/30", "fmt/31", "fmt/32", "fmt/531"                                                                             [AutoCAD Drawing (R9)] [AutoCAD Drawing (R10)] [AutoCAD Drawing (R11/12)] [AutoCAD Drawing (2013/2014)]                                                                                                                                                            
image/drazlace                            , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/drHalo                              , "x-fmt/316"                                                                                                         [Dr Halo Bitmap]                                                                                                                                                                                                                                                   
image/dpx                                 , "fmt/541"                                                                                                           [Digital Moving Picture Exchange Bitmap (2.0)]                                                                                                                                                                                                                     
image/doodleAtari                         , "x-fmt/100", "fmt/134"                                                                                              [AutoCAD Script] [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                          
image/dng                                 , "fmt/436", "fmt/437", "fmt/438", "fmt/730"                                                                          [Digital Negative Format (DNG) (1.0)] [Digital Negative Format (DNG) (1.2)] [Digital Negative Format (DNG) (1.3)] [Digital Negative Format (DNG) (1.4)]                                                                                                            
image/dicom                               , "fmt/574"                                                                                                           [Digital Imaging and Communications in Medicine File Format]                                                                                                                                                                                                       
image/dgi                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/deskMatePaint                       , "x-fmt/175"                                                                                                         [MacPaint Graphics]                                                                                                                                                                                                                                                
image/designWebFormat                     , "x-fmt/49"                                                                                                          [AutoCAD Design Web Format (6.0)]                                                                                                                                                                                                                                  
image/degasMed                            , "x-fmt/77"                                                                                                          [AutoCAD Plot Configuration File (R14)]                                                                                                                                                                                                                            
image/degasHiPI                           , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/dds                                 , "fmt/1040"                                                                                                          [DirectDraw Surface]                                                                                                                                                                                                                                               
image/dcx                                 , "x-fmt/348"                                                                                                         [Multipage Zsoft Paintbrush Bitmap Graphics]                                                                                                                                                                                                                       
image/dataShowScreen                      , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
image/dali                                , "fmt/134", "fmt/209"                                                                                                [MPEG 1/2 Audio Layer 3] [Sound Designer II Audio File]                                                                                                                                                                                                            
image/cur                                 , "fmt/385"                                                                                                           [Microsoft Windows Cursor]                                                                                                                                                                                                                                         
image/crw                                 , "fmt/593"                                                                                                           [Canon RAW (1.0)]                                                                                                                                                                                                                                                  
image/crackArt                            , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/cpr                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/cr2                                 , "fmt/592"                                                                                                           [Canon RAW (2.0)]                                                                                                                                                                                                                                                  
image/corelWavelet                        , "x-fmt/202"                                                                                                         [Corel Wavelet Compressed Bitmap]                                                                                                                                                                                                                                  
image/corelPhotoPaint                     , "x-fmt/144"                                                                                                         [Corel Photo-Paint Image]                                                                                                                                                                                                                                          
image/corelDrawPattern                    , "x-fmt/76"                                                                                                          [CorelDraw Pattern]                                                                                                                                                                                                                                                
image/compuServeRLE                       , "fmt/1538"                                                                                                          [CompuServe RLE]                                                                                                                                                                                                                                                   
image/cmx                                 , "x-fmt/34", "x-fmt/35"                                                                                              [Corel Presentation Exchange File (5.0)] [Corel Presentation Exchange File (6 and Later)]                                                                                                                                                                          
image/cmp                                 , "fmt/1337"                                                                                                          [LEADToolsCompressed Image]                                                                                                                                                                                                                                        
image/cin                                 , "x-fmt/143"                                                                                                         [OS/2 Change Control File]                                                                                                                                                                                                                                         
image/championsInterlace                  , "fmt/134", "x-fmt/143"                                                                                              [MPEG 1/2 Audio Layer 3] [OS/2 Change Control File]                                                                                                                                                                                                                
image/cgm                                 , "x-fmt/142", "fmt/303"                                                                                              [Computer Graphics Metafile ASCII (1)] [Computer Graphics Metafile (Binary) (1)]                                                                                                                                                                                   
image/cdr                                 , "x-fmt/263", "x-fmt/379", "fmt/464", "fmt/466"                                                                      [ZIP Format] [CorelDraw Drawing (3.0)] [CorelDraw Drawing (5.0)] [CorelDraw Drawing (2.0)]                                                                                                                                                                         
image/cals                                , "x-fmt/28"                                                                                                          [CALS Compressed Bitmap]                                                                                                                                                                                                                                           
image/bsave                               , "fmt/134", "x-fmt/171"                                                                                              [MPEG 1/2 Audio Layer 3] [Inset Systems Bitmap]                                                                                                                                                                                                                    
image/brenderPIX                          , "x-fmt/171"                                                                                                         [Inset Systems Bitmap]                                                                                                                                                                                                                                             
image/bpg                                 , "fmt/687"                                                                                                           [Better Portable Graphics]                                                                                                                                                                                                                                         
image/bmp                                 , "fmt/116", "fmt/118", "fmt/119"                                                                                     [Windows Bitmap (3.0)] [Windows Bitmap (4.0)] [Windows Bitmap (5.0)]                                                                                                                                                                                               
image/autoCADSlide                        , "x-fmt/105"                                                                                                         [AutoCAD Slide]                                                                                                                                                                                                                                                    
image/autoCADShape                        , "x-fmt/103"                                                                                                         [AutoCAD Compiled Shape/Font File]                                                                                                                                                                                                                                 
image/atariGraphDiagram                   , "x-fmt/381"                                                                                                         [Dia Graphics Format]                                                                                                                                                                                                                                              
image/arw                                 , "fmt/1127"                                                                                                          [Sony ARW RAW Image File (2.x)]                                                                                                                                                                                                                                    
image/apStar                              , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/aolART                              , "fmt/666"                                                                                                           [ART image format]                                                                                                                                                                                                                                                 
image/aniST                               , "x-fmt/100", "fmt/210"                                                                                              [AutoCAD Script] [Statistica Report File]                                                                                                                                                                                                                          
image/ani                                 , "fmt/386"                                                                                                           [Microsoft Animated Cursor Format]                                                                                                                                                                                                                                 
image/amosPicture                         , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/amosIcons                           , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/aliasPIX                            , "fmt/1092"                                                                                                          [Alias Pix Image File]                                                                                                                                                                                                                                             
image/ags                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/advancedArtStudio                   , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
image/a2gsPreferred                       , "x-fmt/175"                                                                                                         [MacPaint Graphics]                                                                                                                                                                                                                                                
font/woff                                 , "fmt/616", "fmt/1172"                                                                                               [Web Open Font Format (1.0)] [Web Open Font Format (2.0)]                                                                                                                                                                                                          
font/ttf                                  , "x-fmt/453"                                                                                                         [TrueType Font]                                                                                                                                                                                                                                                    
font/speedo                               , "fmt/1569"                                                                                                          [Bitstream Speedo Fonts]                                                                                                                                                                                                                                           
font/pcScreenFont                         , "x-fmt/93"                                                                                                          [Postscript Support File]                                                                                                                                                                                                                                          
font/otf                                  , "fmt/520"                                                                                                           [OpenType Font File]                                                                                                                                                                                                                                               
font/nlq                                  , "fmt/1546", "fmt/1547"                                                                                              [Daisy-Dot Font File (I and II)] [Daisy-Dot Font File (III)]                                                                                                                                                                                                       
font/intelliFont                          , "x-fmt/425"                                                                                                         [Generic Library File]                                                                                                                                                                                                                                             
font/adobeType1                           , "fmt/525"                                                                                                           [Adobe Printer Font Binary]                                                                                                                                                                                                                                        
executable/windowsSCR                     , "x-fmt/410", "fmt/899"                                                                                              [Windows New Executable] [Windows Portable Executable (32 bit)]                                                                                                                                                                                                    
executable/macOSExecutable                , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
executable/exe                            , "x-fmt/409", "x-fmt/410", "fmt/899"                                                                                 [MS-DOS Executable] [Windows New Executable] [Windows Portable Executable (32 bit)]                                                                                                                                                                                
executable/dll                            , "x-fmt/410", "fmt/899"                                                                                              [Windows New Executable] [Windows Portable Executable (32 bit)]                                                                                                                                                                                                    
document/xps                              , "fmt/189", "fmt/657"                                                                                                [Microsoft Office Open XML (2007 onwards)] [Open XML Paper Specification]                                                                                                                                                                                          
document/xls                              , "fmt/56", "fmt/59", "fmt/61", "fmt/214", "fmt/555", "fmt/556"                                                       [Microsoft Excel 3.0 Worksheet (xls) (3)] [Microsoft Excel 5.0/95 Workbook (xls) (5/95)] [Microsoft Excel 97 Workbook (xls) (8)] [Microsoft Excel for Windows (2007 onwards)] [Microsoft Excel Macro (2.x)] [Microsoft Excel Macro (3.0)]                          
document/writeNow                         , "fmt/799"                                                                                                           [WriteNow]                                                                                                                                                                                                                                                         
document/wri                              , "x-fmt/12", "x-fmt/274"                                                                                             [Write for Windows Document (3.0)] [Microsoft Word for MS-DOS Document (4.0)]                                                                                                                                                                                      
document/wp                               , "x-fmt/44", "x-fmt/203", "x-fmt/393", "x-fmt/394"                                                                   [WordPerfect for MS-DOS/Windows Document (6.0)] [WordPerfect for Windows Document (5.2)] [WordPerfect for MS-DOS Document (5.0)] [WordPerfect for MS-DOS/Windows Document (5.1)]                                                                                   
document/wordStar                         , "x-fmt/205", "x-fmt/206", "x-fmt/237", "x-fmt/261"                                                                  [WordStar for MS-DOS Document (5.0)] [WordStar for Windows Document (1.0)] [WordStar for MS-DOS Document (6.0)] [WordStar for MS-DOS Document (7.0)]                                                                                                               
document/wordMac                          , "x-fmt/1", "x-fmt/64", "x-fmt/65"                                                                                   [Microsoft Word for Macintosh Document (3.0)] [Microsoft Word for Macintosh Document (4.0)] [Microsoft Word for Macintosh Document (5.0)]                                                                                                                          
document/wordDoc                          , "fmt/37", "fmt/39", "fmt/40", "x-fmt/45", "fmt/609", "fmt/754"                                                      [Microsoft Word for Windows Document (1.0)] [Microsoft Word Document (6.0/95)] [Microsoft Word Document (97-2003)] [Microsoft Word Document Template (97-2003)] [Microsoft Word (Generic) (6.0-2003)] [Microsoft Word Document (Password Protected) (97-2003)]     
document/visio                            , "fmt/216", "x-fmt/258", "fmt/443", "fmt/1510"                                                                       [Microsoft Visio XML Drawing (2003-2010)] [Microsoft Visio Drawing (2000-2002)] [Microsoft Visio Drawing (2003-2010)] [Microsoft Visio Drawing (4)]                                                                                                                
document/vCard                            , "fmt/395"                                                                                                           [vCard]                                                                                                                                                                                                                                                            
document/timeworksPublisher               , "fmt/1415"                                                                                                          [GST Publisher File (1)]                                                                                                                                                                                                                                           
document/superCalc                        , "fmt/403"                                                                                                           [SuperCalc Spreadsheet (1)]                                                                                                                                                                                                                                        
document/stosBAS                          , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
document/starWriter                       , "fmt/136", "x-fmt/400"                                                                                              [OpenDocument Text (1.0)] [StarOffice Writer (5.x)]                                                                                                                                                                                                                
document/starOfficeSpreadsheet            , "fmt/137", "x-fmt/359"                                                                                              [OpenDocument Spreadsheet (1.0)] [StarOffice Calc (5.x)]                                                                                                                                                                                                           
document/starOfficePresentation           , "x-fmt/360"                                                                                                         [StarOffice Impress (5.x)]                                                                                                                                                                                                                                         
document/starOfficeDraw                   , "x-fmt/401"                                                                                                         [StarOffice Draw (5.x)]                                                                                                                                                                                                                                            
document/rtf                              , "fmt/45", "fmt/355"                                                                                                 [Rich Text Format (1.0-1.4)] [Rich Text Format (1.9)]                                                                                                                                                                                                              
document/quattroPro                       , "fmt/837"                                                                                                           [Quattro Pro Spreadsheet (9 onwards)]                                                                                                                                                                                                                              
document/quarkXPress                      , "fmt/1325"                                                                                                          [QuarkXPress Project (2016)]                                                                                                                                                                                                                                       
document/psionTCReBook                    , "fmt/1099"                                                                                                          [TCR eBook]                                                                                                                                                                                                                                                        
document/ps                               , "x-fmt/406", "x-fmt/408"                                                                                            [PostScript (2.0)] [PostScript (3.0)]                                                                                                                                                                                                                              
