>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
 	Me And Dungeons	*.assets *.assets.resS *.resource	*.Texture2D
 	Meadow	*.assets *.assets.resS *.resource	*.Texture2D
 	Mech Assault [XBox]	*.d1bank	
 	Mech Commander	*.pak	
 	Mech Commander 2	*.fst *.fst *.pak	*.jpg *.tga *.wav
 	Mech Commander Gold	*.fst *.pak	*.gif *.wav
 	Mech Warrior 2: Mercinaries	*.mw2 *.prj	*.wav
 	Mech Warrior 3	*.zbd	*.wav
 	Mech Warrior 4: Mercenaries	*.mtx *.mw4	*.tga *.wav
 	Medal Of Honor: Airborne	*.u *.uax *.ukx *.umx *.upx *.usx *.utx *.uvx *.xxx	*.palette *.texture
 	Medal Of Honor: Allied Assult	*.pk3	
 	Medal Of Honor: European Assault [XBox]	*.ast	
 	Medal Of Honor: Pacific Assault	*.rez	*.dds *.jpg *.mp3 *.tga *.wav
 	Medal Of Honor: Pacific Assult	*.rez	
 	Medieval 2 Total War	*.dat *.pack	
 	Medieval Total War	*.lbm *.prf	
 	MegaRace	*.dat	
 	Megatronic Void	*.nw *.pak	*.ogg *.png *.wav
 	Memoranda	*.win	*.png
 	Memoria	*.vis *.vc### *.vs###	*.ogg
 	Men of Valor: Vietnam	*.u	*.palette *.texture
 	Men Of War	*.pak	*.bmp *.dds *.mp3 *.tga *.wav
 	Men of War: Assault Squad	*.pak	*.bmp *.dds *.mp3 *.psd *.tga *.wav
 	Mercedes-Benz Truck Racing	*.syn	
 	Mercenary Kings	*.pbn	
 	Messiah	*.dta	
 	Metal Gear Solid	*.dar *.mgz	
 	Metal Heart: Replicants Rampage	*.pkg	
 	Metro 2033	*.vfs0	*.512 *.1024 *.2048 *.dds *.ogg
 	MHTML Webpage	*.mht *.mhtml	
 	Micro Machines 2	*.sfx	
 	Micro Machines V4	*.piz	
 	Microsoft Baseball 2000	*.fst	*.bmp *.wav
 	Microsoft Cabinet	*.cab	
 	Microsoft Casino	*.pad	
 	Microsoft Flight Simulator 2004	*.zip	
 	Microsoft Internet Explorer	*.mht *.mhtml	
 	Microsoft Train Simulator	*.ace	
 	Microsoft Windows Media Player	*.zip	
 	Microsoft Windows Themes	*.msstyles	
 	Middle Earth: Shadow Of Mordor	*.arch05 *.embb *.pck	*.tex
 	Midnight Club	*.dat	
 	Midnight Club 2	*.dat	*.mp3
 	Midnight Mysteries 2: Salem Witch Trials	*.dat	*.dds *.mp3 *.ogg *.png
 	Midnight Mysteries 3: Devil on the Mississippi	*.dat	*.dds *.mp3 *.ogg *.png
 	Midnight Mysteries 4: Haunted Houdini	*.dat	*.dds *.mp3 *.ogg *.png
 	Midnight Mysteries: The Edgar Allan Poe Conspiracy	*.sfs	*.ogg *.png
 	Midnight Mysteries: Witches of Abraham	*.dat	*.dds *.ogg *.png *.wav
 	Midtown Madness	*.ar	*.dds *.jpg *.wav
 	Midtown Madness 2	*.ar	*.wav
 	MiG-29 Fulcrum	*.pff *.pff *.sbf	*.bmp *.pcx *.wav *.wav
 	Might and Mayhem	*.assets *.resS *.resource	
 	Mighty Gemstones	*.assets *.assets.resS *.resource	*.Texture2D
 	Mii Maker [Wii U]	*.arc *.cmp *.cmp	*.bmp
 	Milky Way Map	*.pak	*.png
 	Millennium 3	*.rgssad	*.jpg *.png
 	Millennium: A New Hope	*.rgssad	*.jpg *.png
 	Millie	*.assets	*.AudioClip *.Texture2D
 	Mind Spheres	*.assets *.resS *.resource	*.Texture2D
 	MineSweep	*.assets *.assets.resS *.resource	*.Texture2D
 	Mini Golf Coop	*.assets *.resS *.resource	*.Texture2D
 	Mini Metro	*.assets *.resS *.resource *.bytes	*.Texture2D
 	Mini Motor Racing EVO	*.assets *.assets.resS	*.AudioClip *.Texture2D
 	Mini Ninjas	*.str *.wav *.zip	*.wav *.wav
 	Minion Masters	*.assets *.resS *.resource	*.Texture2D
 	Minions Of Mirth	*.zip	
 	Minority Report: Everybody Runs	*.gz	
 	Minority Report: Everybody Runs [XBox]	*.gz *.pak	
 	Mission - Wolf	*.assets *.assets.resS *.resource	*.Texture2D
 	Mission Force: Cyber Storm	*.rbx	
 	Mission Impossible: Operation Surma [XBox]	*.mpk	
 	Mission Kelloggs	*.ff	
 	Mob Enforcer	*.rez *.rez	*.dtx *.pcx *.wav
 	Mob Ties Tokyo	*.bin	*.dds *.jpg *.png *.tga
 	Mobile Forces	*.u *.uax *.umf *.utx	*.palette *.texture *.texture
 	Mobius Final Fantasy	*.assets	
 	Moebius: Empire Rising	*.assets *.unity3d	*.AudioClip *.Texture2D
 	Molecule: A Chemical Challenge	*.assets *.assets.resS *.resource	*.Texture2D
 	Monkey Island 3	*.bun	
 	Monkey Island 4	*.lab *.m4b *.lab *.m4b	
 	Monopoly Deluxe	*.fpf	
 	Monster Madness: Battle For Suburbia	*.u	*.palette *.texture
 	Monster Slayers	*.dat *.win	*.png *.wav
 	Monster Truck Madness 2	*.pod	
 	Monsters, Inc. [PS2]	*.skx	
 	Monte Christo	*.zip	
 	Monty Python And The Quest For The Holy Grail	*.bin *.bin *.bin *.bin	
 	Monty Python's Complete Waste Of Time	*.bin *.bin *.bin *.bin	
 	Monty Pythons Meaning Of Life	*.bin *.bin *.bin *.bin	
 	Moonbase Commander	*.cmp	
 	Moonshine Runners	*.pak	*.jpg *.tga
 	Moorhuhn 3	*.dat	
 	Mordheim: City of the Damned	*.assets *.assets.resS *.resource	*.Texture2D
 	Morendar: Goblin Slayer	*.assets *.assets.resS *.resource	*.Texture2D
 	Mortal Kombat 3	*.ftr	*.wav
 	Mortal Kombat Armageddon [XBox]	*.ssf	
 	Mortal Kombat Deadly Alliance [GameCube]	*.ssf	
 	Mortal Kombat Deadly Alliance	*.ssf	
 	Mortal Kombat Deceptions [GameCube]	*.ssf	
 	Mortal Kombat Deceptions	*.msx *.ssf	
 	Mortal Kombat Deceptions [XBox]	*.msx *.ssf	
 	Mortal Kombat Gold [Dreamcast]	*.geo *.kat	
 	Mortal Kombat Trilogy	*.snd	*.wav
 	Mortal Kombat: Shaolin Monks [XBox]	*.afs	
 	Mortal Royale	*.u *.upk *.mo	*.SoundNodeWave *.soundnodewave *.Texture2D
 	Mortyr	*.hal	
 	Moss Destruction	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Motocross Madness	*.dat	
 	Motocross Madness 2	*.tex *.raw *.dat	
 	MotoGP Ultimate Racing Technology 3	*.ark	
 	MotoRacer	*.bkf	
 	MotoRacer 2	*.bkf	
 	MotoRacer GP	*.bkf	
 	Motorhead	*.pak	
 	MotorM4X	*.dtf *.scn	
 	Mountain Troll	*.nw *.pak	*.png
 	Mr Jezko	*.assets *.resS *.resource	*.Texture2D
 	Mr Robot	*.000	*.ogg *.wav
 	Muay Thai Fighting	*.assets *.assets.resS *.resource	*.Texture2D
 	Murazu	*.nw *.pak	*.ogg *.png *.wav
 	Murderous Pursuits	*.assets *.assets.resS *.resource *.ab	*.Texture2D
 	Musaic Box	*.dat	*.tex*
 	Mutual Secret	*.assets *.assets.resS *.resource	*.Texture2D
 	MVP Baseball 2005	*.ast *.mus *.big	
 	MX vs ATV Unleashed	*.pak	*.dxt *.png
 	My Car	*.assets *.assets.resS *.resource	*.Texture2D
 	My Coloring Book: Food and Beverage	*.assets *.resS *.resource	*.Texture2D
 	My Personal Angel	*.pak	*.png *.wav
 	Myst	*.mhk	
 	Myst 4 Revelation	*.m4r	
 	Mysterious Journey 2	*.rez	*.dtx *.ogg *.pcx *.wav
 	Mysterium	*.assets *.assets.resS *.resource	*.Texture2D
 	Mystery Masters: Psycho Train Deluxe Edition	*.pack	*.ogg
 	MyTD	*.assets *.assets.resS *.resource	*.Texture2D
 	Myth: The Fallen Lords	*.gor	
 	Nancy Drew: Alibi In Ashes	*.dat	*.png
 	Nascar Heat	*.res *.trk	
 	Nascar Racing	*.dat	*.pcx
 	Nascar Racing 2	*.dat	*.pcx *.wav
 	NASCAR Racing 2002 Season	*.car *.dat	
 	Nascar SimRacing	*.mas	*.bmp *.dds *.tga
 	Nash Racing	*.pak	*.png *.Texture2D
 	Nash Racing 2: Muscle Cars	*.pak	*.png *.Texture2D
 	Naval Warfare	*.all *.aqa	*.dds
 	NBA 2003	*.big *.viv	
 	NBA 2004	*.big *.viv	
 	NBA 2005	*.big *.viv	
 	NCAA Final Four	*.jam	*.bmp
 	Need For Gowna	*.assets *.assets.resS *.resource	*.Texture2D
 	Need For Speed	*.viv	
 	Need For Speed 2	*.viv	*.fsh
 	Need For Speed 3: Hot Pursuit	*.viv	*.fsh
 	Need For Speed Underground	*.ast	
 	Need For Speed Underground 2	*.ast *.ast *.viv *.vp6 *.vp6	
 	Need For Speed Underground 2 [XBox]	*.viv	
 	Need For Speed: Hot Pursuit 2	*.viv	
 	Need For Speed: Most Wanted	*.bin *.bin	
 	Need for Speed: Most Wanted	*.bndl	
 	Need For Speed: Most Wanted	*.bun *.vp6	
 	Need For Speed: Porsche Unleashed	*.viv	*.fsh
 	Need For Speed: Pro Street	*.bin *.bin *.bin *.bun	
 	Neighbours From Hell	*.bnd	
 	Neighbours From Hell [XBox]	*.rws	
 	Neighbours From Hell 2	*.bnd	
 	Neko Navy	*.assets *.assets.resS *.resource	*.Texture2D
 	Neocron	*.pak	*.bmp *.dds *.wav
 	Neocron 2	*.pak	
 	Neon Brood	*.pak	*.bmp *.wav
 	Neon Hardcore	*.assets *.assets.resS *.resource	*.Texture2D
 	Neon Void Runner	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	NeonGalaxy Wars	*.nw *.pak	*.ogg *.png *.wav
 	NeoSticks	*.pak	*.png *.Texture2D
 	Nerf ArenaBlast	*.nrf *.u *.uax *.utx	*.palette *.texture *.texture
 	Nether	*.upk	*.SoundNodeWave *.texture2d
 	Network Q Rally Championship	*.bun	
 	Neverwinter Nights	*.bif	
 	New Legends	*.umd	*.palette *.texture
 	Next Generation Tennis 2003	*.bin	
 	Nexuiz	*.pk3	*.jpg *.ogg *.tga *.wav
 	Nexus: The Kingdom Of The Winds	*.dat	*.tile
 	NHL 06	*.big *.viv *.zip	*.fsh
 	NHL 2001	*.viv	*.fsh
 	NHL 2003	*.big *.viv	
 	NHL 2003 [PS2]	*.big *.viv	
 	NHL 2004	*.big *.viv	
 	NHL 2005	*.big *.viv	
 	Nibiru: Age Of Secrets	*.adb *.grp	*.bmp *.ogg *.wav
 	Nibiru: Messenger Of The Gods	*.adb *.grp	
 	Nice Way	*.assets *.assets.resS *.resource	*.Texture2D
 	Night Fly	*.assets *.assets.resS *.resource	*.Texture2D
 	Night Watch	*.res	*.ogg
 	Nightlong: Union City Conspiracy	*.cd0 *.cd1	*.wav
 	Nikopol: Secrets Of The Immortals	*.obp *.opk *.osp *.ovp	*.dds *.jpg *.png
 	Ninja from Hell vs. Reptiloids	*.win	*.png *.wav
 	Ninja Gaiden Black [XBox]	*.afs	
 	Ninja Way	*.assets *.assets.resS *.resource	*.Texture2D
 	NitroRage	*.uasset	*.Texture2D
 	No Time To Explain Remastered	*.assets	*.AudioClip *.AudioClip *.Texture2D
 	No Turning Back: The Pixel Art Action-Adventure Roguelike	*.win	*.png *.wav
 	No70: Eye Of Basir	*.pak	*.png *.Texture2D
 	Nocturne	*.pod	*.raw *.wav
 	NOGIBATOR	*.win	
 	Nogibator	*.win	
 	Noone Lives Forever	*.rez	*.dtx *.pcx *.tga *.wav
 	Noone Lives Forever 2	*.rez	*.dtx *.pcx *.wav
 	Normality	*.das	
 	NORTH	*.assets *.resS *.resource	*.Texture2D
 	Northland	*.lib	
 	Nosferatu: The Wrath of Malachi	*.csa	*.jpg *.tga *.wav
 	NOX	*.bag *.war	
 	NRL 2003	*.fsb *.fsb	*.wav
 	Nuclear 2050	*.pak	*.png *.Texture2D
 	Nuked Knight	*.assets *.assets.resS *.resource	*.Texture2D
 	Numba Deluxe	*.cobi	*.png
 	Numen: Contest of Heroes	*.res	*.bmp *.dds *.ogg *.png *.tga *.wav
 	Nuts! The Battle of the Bulge	*.assets *.resS *.resource	*.Texture2D
 	Object Cleaning	*.assets *.unity3d *.resource	*.AudioClip *.Texture2D
 	Obscure	*.hvp *.hvp *.001	*.bmp *.bmp *.ogg *.ogg *.tga *.tga *.wav
 	Obscure [PS2]	*.hvp *.001	
 	Obscurity	*.assets *.assets.resS *.resource	*.Texture2D
 	Occult PreRaise	*.sgbpack	*.ogg *.png
 	Occult Raise	*.sgbpack	*.ogg *.png
 	Occult RERaise	*.sgbpack	*.ogg *.png
 	Ochkarik	*.nw *.pak	*.jpg *.ogg *.png
 	Oddworld: Abes Oddysee	*.ddv *.lvl	
 	Odysseus Kosmos and his Robot Quest: Episode 1	*.assets *.resS *.resource	*.Texture2D
 	Oknytt	*.dcp	*.bmp *.ogg *.png *.psd *.tga
 	Once Upon A Knight	*.wd	*.bmp *.dds *.tex *.tga *.wav
 	One Finger Death Punch	*.xwb	*.wav
 	One More Dungeon	*.assets *.resS *.resource	*.Texture2D
 	One Star	*.nw *.pak	*.ogg *.png
 	OneScreen Solar Sails	*.nw *.pak	*.jpg *.ogg *.png
 	Oni	*.dat	
 	Open Arena	*.pk3	*.jpg *.ogg *.tga *.wav
 	Open Season	*.lin *.umd	
 	Operation Flashpoint	*.pbo	
 	Orb The Ball	*.assets *.assets.resS *.resource	*.Texture2D
 	Order of War	*.fsb *.fsb *.pkg	*.bmp *.dds *.fsb *.jpg *.tga *.wav *.wav
 	Orion Burger	*.hag	
 	Orwell	*.assets *.resS *.resource *.AssetBundles	*.Texture2D
 	Othello 2018	*.win	*.png
 	Outcast	*.assets *.assets.resS *.resource *.opk	*.Texture2D
 	Outer Space	*.win	*.png *.wav
 	Outfront	*.pak	
 	Outlaws	*.lab	
 	Outlive	*.dat	
 	Outpost Zero	*.pak	*.ogg *.png *.Texture2D
 	Outrunner 2	*.win *.unx	*.png *.wav
 	OutSplit	*.assets *.assets.resS *.resource	*.Texture2D
 	Over The Hedge	*.arc	
 	Overcast: Walden and the Werewolf	*.assets	*.AudioClip *.Texture2D
 	Overdrive	*.epf	
 	Overfall	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Overhead	*.assets *.assets.resS *.resource	*.Texture2D
 	Overkill's The Walking Dead	*.pak	*.png *.Texture2D
 	Overlord	*.spf	*.wav
 	OVIVO	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	Owen To Have Fun!	*.nw *.pak	*.ogg *.png
 	Oxenfree	*.assets *.assets.resS *.resource	*.Texture2D
 	Oxygen Phone Manager	*.osm	
 	Pacific Storm	*.sma	*.dds *.jpg *.png *.tga
 	Pacific Warrior 2: Dogfight	*.pak	
 	Packmania 2	*.arf	
 	Pacman: Adventures In Time	*.pac	*.tga
 	Pain Train	*.assets *.resS *.resource	*.Texture2D
 	Pain Train 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Pain Train PainPocalypse	*.assets *.assets.resS *.resource	*.Texture2D
 	Paint Skills	*.assets *.assets.resS *.resource	*.Texture2D
 	PaintPool	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Pankapu	*.assets *.resS *.resource	*.Texture2D
 	Panzer Commander	*.jrf	
 	Panzer Elite Action	*.x	*.dds *.mp3 *.wav
 	Panzer General	*.shp	
 	Paradise Cracked	*.zip	
 	Paradox Wrench	*.assets *.assets.resS *.resource	*.Texture2D
 	Paradoxion	*.pak	*.texture
 	Pariah	*.prh *.u *.uax *.ukx *.usx *.utx	*.texture *.texture
 	Park The Car	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Particle Mace	*.assets *.resS *.resource	*.Texture2D
 	Particula	*.assets	*.AudioClip *.AudioClip *.Texture2D
 	Pathologic	*.vfs	
 	Patrician 2	*.cpr	*.bmp *.jpg *.tga
 	Patrician 3	*.cpr	
 	Pax Imperia Eminent Domain	*.img	
 	PBA Bowling 2	*.bsa	*.tex
 	Peggle Deluxe	*.pak	*.gif *.jpg *.ogg *.png
 	Penny Arcade: On The Rain-Slick Precipice of Darkness: Episode 1	*.fsb *.fsb *.hha	*.mp3 *.wav *.wav
 	Penny Arcade: On The Rain-Slick Precipice of Darkness: Episode 2	*.fsb *.fsb *.hha	*.mp3 *.wav *.wav
 	Perfect Heist	*.pak	*.ogg *.png *.Texture2D
 	Perfect Universe	*.assets *.resS *.resource	*.Texture2D
 	Perimeter	*.pak	*.tga
 	Peter Pan: The Legend of Neverland	*.bcb	
 	Phantasma	*.assets *.resS *.resource	*.Texture2D
 	Phantasy Star Online [XBox]	*.afs	
 	Phantom Soldier	*.assets *.assets.resS *.resource	*.Texture2D
 	PHAT STACKS	*.win	*.png *.wav
 	Phobia	*.pak	*.png *.Texture2D
 	Pickers	*.dat	*.dds *.jpg *.ogg *.png *.psd
 	PIDO1	*.assets *.assets.resS *.resource	*.Texture2D
 	Pilferer	*.nw *.pak	*.jpg *.ogg *.png
 	Pilot Down: Behind Enemy Lines	*.wga	*.tif
 	Pilot Down: Behind Enemy Lines [PS2]	*.wga	
 	Pinball 2018	*.assets *.assets.resS *.resource	*.Texture2D
 	Pinstripe	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Pirates: Battle For The Caribbean	*.000	*.ogg *.tga *.wav
 	Pirates: The Legend of Black Kat [XBox]	*.viv	
 	Pixel Gladiator	*.win	*.png *.wav
 	Pixel Traffic: Circle Rush	*.assets *.resS *.resource	*.Texture2D
 	Pixel Traffic: Highway Racing	*.assets *.resS *.resource	*.Texture2D
 	Pixel Traffic: Risky Bridge	*.assets *.resS *.resource	*.Texture2D
 	Pixel War	*.nw *.pak	*.ogg *.png *.wav
 	Pixel Worlds	*.assets *.resS *.resource	*.Texture2D
 	PixelJunk Shooter	*.pkdwin	*.ogg *.wav
 	Pizza Titan Ultra	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Planet Driller	*.assets *.resS *.resource	*.Texture2D
 	Planetscape: Torment	*.bif	
 	Plants vs. Zombies	*.pak	*.gif *.jpg *.ogg *.png
 	PlatONIR	*.win	*.png *.wav
 	Playboy: The Mansion	*.cam *.cam *.cam	
 	PlayStation Portable Firmware [PSP]	*.pbp	
 	Please Close The Doors	*.rgss3a	*.jpg *.png
 	Poly Bridge	*.assets *.resS *.resource	*.Texture2D
 	Polyventure	*.assets *.assets.resS *.resource	*.Texture2D
 	Pool Of Radiance	*.cnb *.cnk	
 	Populous 3	*.sdt	
 	Populous: The Beginning	*.sdt	
 	Porcunipine	*.assets *.resS *.resource	*.Texture2D
 	Port Royale	*.cpr	
 	Portal	*.vpk	*.mp3 *.tga *.vtf *.vtf *.wav
 	Portal 2	*.vpk	*.vtf *.wav
 	Portal Stories: Mel	*.vpk	*.vtf
 	Postal	*.sak	*.bmp *.wav
 	Postal 2	*.fuk *.u *.uax *.ukx *.upx *.usa *.usx *.utx	*.palette *.texture *.texture
 	Poultry Panic	*.assets *.assets.resS *.resource	*.Texture2D
 	Powerdrome	*.xwb	
 	Powerdrome [XBox]	*.xwb	
 	Powerslide	*.pf *.pfb *.pfc	*.bmp *.tga
 	Praetorians	*.pak	
 	Prehistoric Tales	*.assets *.resource	*.Texture2D
 	President Pig	*.pak	*.png
 	Prey	*.pk4	*.ogg *.tga *.wav
 	Primal Reign	*.assets *.resS *.resource	*.Texture2D
 	Prince Of Persia	*.dat	
 	Prince Of Persia 2	*.dat	
 	Prince of Persia: Sands of Time	*.bf *.bf	*.dds
 	Prince of Persia: The Two Thrones	*.bf *.bf	
 	Prince of Persia: Warrior Within	*.bf *.bf	
 	Prince Of Persia: Warrior Within	*.big	
 	Princess Maker 2	*.lbx	
 	PRISM Guard Shield	*.asr	*.dds *.tga *.wav
 	Prismata	*.batch *.batch	*.mp3 *.png
 	Prisoner of Ice	*.kro	*.wav
 	Prisoner Of War	*.wga *.wga	*.tif
 	Prisoner Of War [PS2]	*.wga	
 	Pro Beach Soccer	*.wad	*.bmp *.png *.tga
 	Pro Evolution Soccer 2008	*.img *.afs_archive	*.we00
 	Pro Evolution Soccer 2009	*.img *.afs_archive	*.we00
 	Pro Evolution Soccer 2010	*.img	*.we00
 	Pro Evolution Soccer 5	*.afs	
 	Pro Pinball: Fantastic Journey	*.dcg *.dmg	
 	Professor Fizzwizzle And The Molten Mystery	*.dat	*.bmp *.jpg *.ogg *.png *.tga
 	Project Aftermath	*.dat	*.dds *.ogg *.png *.tga
 	Project Earth: Starmageddon	*.dpk	
 	Project Highrise	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Project IGI 2	*.res	*.mp3
 	Project IGI: I'm Going In	*.iff *.res	
 	Project Lucie	*.pak	*.dds *.png *.wav
 	Project Nomad	*.npk	*.ntx *.wav
 	Project X	*.epf	
 	PROJECT XINATRA	*.pak	*.jpg *.ogg *.png *.tga
 	Psi Cards	*.assets *.resS *.resource	*.Texture2D
 	Psi Ops	*.w32	
 	Psychedelic Platformer	*.assets *.resS *.resource	*.Texture2D
 	Psychonauts	*.pkg	*.dds
 	Pumped BMX +	*.assets *.resS	*.AudioClip *.AudioClip *.Texture2D
 	Punch Club	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Pure	*.fsb *.sdz *.textures	*.dds *.wav
 	Purge	*.rez	
 	Pusher	*.zip	
 	Puzzle Kingdoms	*.zip	*.jpg *.ogg *.png
 	Puzzle Puppers	*.assets *.assets.resS *.resource	*.Texture2D
 	Pylow	*.assets *.assets.resS *.resource	*.Texture2D
 	QLORB	*.assets *.assets.resS *.resource	*.Texture2D
 	QLORB 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Quake	*.pak *.wad	
 	Quake 2	*.pak *.wad *.wad *.rts	
 	Quake 3	*.pk3	*.jpg *.tga
 	Quake 4	*.pk4	*.dds *.ogg *.tga *.wav
 	Quest For Glory 2	*.vox	*.ogg
 	Quest For Glory 5	*.spk	
 	Quiet City	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	R.U.S.E	*.dat	
 	Rabbit And The Moon	*.assets *.assets.resS *.resource	*.Texture2D
 	RACE 07	*.gcf	*.mp3
 	Race The Sun	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Race.a.bit	*.assets *.assets.resS *.resource	*.Texture2D
 	Rage Parking Simulator 2016	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	Ragnarok Journey	*.pak	*.png
 	Ragnarok Online 2: The Gate of the World	*.u	*.palette *.texture
 	Raiders of the Broken Planet	*.packed	*.dds *.ogg
 	Railroad Tycoon 2	*.pak	
 	Railroad Tycoon 3	*.pk4	*.wav
 	Rainbow Rage Squad	*.nw *.pak	*.ogg *.png *.wav
 	Rainbow Six 3: Athena Sword [XBox]	*.u	*.palette *.texture
 	Rainbow Six 3: Black Arrow [XBox]	*.ss2 *.u	*.palette *.texture
 	Rainbow Six 3: Raven Shield	*.rsm *.u *.uax *.ukx *.usx *.utx *.sb0	*.palette *.texture *.texture
 	Rainbow Six: Lockdown	*.fsb	*.wav
 	Rainbow Six: Vegas	*.u	*.palette *.texture
 	Rakuen	*.rgssad	*.jpg *.png
 	RalliSport Challenge [XBox]	*.rfa	
 	Rally Masters	*.pdt	
 	RAMS	*.pak	
 	Range Ball	*.assets *.resS *.resource	*.Texture2D
 	Ranger in Spider's Den	*.win	*.png *.wav
 	Rapscallion	*.assets	*.ogg *.Texture2D *.wav
 	Ratatouille	*.sdx	*.dds
 	Rational Systems	*.vcc	
 	Rayman 2	*.cnt	
 	Rayman 3	*.cnt	
 	Rayman M	*.cnt	
 	RC Simulator	*.par	*.png *.wav
 	R-COIL	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Reach Me	*.assets *.assets.resS *.resource	*.Texture2D
 	Real E$tate Empire	*.blob32	*.ogg *.wav
 	Real Myst	*.dni	
 	Reality Falls	*.vox	*.mp3 *.ogg *.wav
 	Rebel Assault 2: The Hidden Empire	*.sad *.san *.nut *.pfm	
 	Rebel Galaxy	*.pak	*.bmp *.dds *.ogg *.png *.tga *.wav
 	Rebel Raiders: Operation Nighthawk	*.bag	
 	Rebels: Prison Escape	*.pak	
 	Reckless Space Pirates	*.pak	*.png
 	Recoil	*.zbd *.zbd *.sfx	*.wav
 	Red Baron 3D	*.vol	*.spl
 	Red Dead Revolver [XBox]	*.dat	
 	Red Faction	*.vpp	*.tga *.wav
 	Red Faction 2	*.packfile *.peg	
 	Red Ocean	*.xpf	*.dds *.wav
 	Red Orchestra: Ostfront 41-45	*.u	*.palette *.texture
 	Red Risk	*.assets *.resS *.resource	*.Texture2D
 	Red Steel	*.u	*.palette *.texture
 	Redneck Kentucky and the Next Generation Chickens	*.kur *.u *.uax *.ukx *.usx *.utx	*.palette *.texture *.texture
 	Redneck Rampage	*.grp *.ins	
 	Reflection of Mine	*.nw *.pak	*.ogg *.png *.wav
 	Reflex	*.assets *.assets.resS *.resource	*.Texture2D
 	Reflexive Arcade	*.dat	
 	Re-Mission	*.pak	*.dds *.tga *.wav
 	Remothered: Tormented Fathers	*.pak	*.ogg *.png *.Texture2D
 	Renegade Ops	*.arc	*.dds
 	Replica	*.assets *.resS *.resource	*.Texture2D
 	Republic: The Revolution	*.erb	
 	Rescue Team 4	*.zip	*.jpg *.ogg *.png
 	Resident Evil 2	*.bin *.bin *.bnk *.pck	
 	Resident Evil 4	*.afs	
 	Rest House	*.pak	*.png *.Texture2D
 	Restaurant Empire 2	*.res	*.wav
 	Restricted Area	*.pak	
 	Resurrection	*.pak	*.bmp *.tga
 	Retro Space Shooter	*.assets *.assets.resS *.resource	*.Texture2D
 	Return To Castle Wolfenstein	*.pk3	*.jpg *.tga *.wav
 	Return To Castle Wolfenstein: Tide Of War [XBox]	*.xwb	
 	Return to Mystery Island	*.bf *.jp6	*.ogg
 	Return to Planet X	*.assets *.resS *.resource	*.Texture2D
 	Revenant	*.rvi *.rvm *.rvr	
 	Reversion: The Escape	*.dcp	*.bmp *.jpg *.ogg *.png
 	Revolution	*.arc	*.tga
 	RF Online	*.rfs	
 	rFactor	*.mas	*.bmp *.dds *.jpg *.tga
 	Richard Burns Rally	*.rbz	
 	Ricky Ponting International Cricket 2005	*.bag	*.dds *.tex
 	Ricochet	*.wad *.zip	*.mip
 	Ricochet Xtreme	*.dat	
 	Riff Racer	*.zip	
 	RiME	*.pak	*.ogg *.png *.Texture2D
 	RIP 3: The Last Hero	*.pak	*.jpg *.png
 	Ripple Effect	*.assets *.resS *.resource	*.Texture2D
 	Rise and Shine	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Rise Of Legends	*.big	
 	Rise of the Triad (2013)	*.u	*.SoundNodeWave *.texture2d
 	Rise Up	*.assets *.assets.resS *.resource	*.Texture2D
 	Risen	*.pak	*._ximg *.mp3
 	Rising Eagle	*.mdat	
 	Rising Kingdoms	*.pak	*.bmp *.cur *.jpg *.tga *.wav
 	Rising Lords	*.dat *.win	*.png *.wav
 	Risky Rescue	*.assets	*.AudioClip *.Texture2D
 	Rival Realms	*.dat	*.wav
 	Riven	*.mhk	
 	River City Ransom: Underground	*.rcru	*.wav
 	RKN: Roskomnadzor Banned the Internet	*.nw *.pak	*.ogg *.png
 	Road Doom	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Robo Do It	*.assets *.resS *.resource	*.Texture2D
 	RoboBlitz	*.rbd *.u *.upk	*.palette *.texture
 	Robocraft	*.assets *.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Robo-orders	*.assets *.assets.resS *.resource	*.Texture2D
 	Robot Chase	*.win	*.ogg *.png
