>>> abydos (Linux - v0.2.1 - July 11, 2020) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
ComiPo!	CSU	L / -	L / -	- / -	L / -	Gen. / -	MTFS	/
Command and Conquer 3: Tiberium Wars	W3DM	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Commander: Conquest of the Americas	S3D	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Common Layer Interface Binary (with slice/HPGL save option)	CLI	L /	- /	- / -	- / -	- / -	-	-
Conquer Online	C3	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Continent of the Ninth (C9)	R3CM	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
CorelDREAM 3D /Polygons only/	D3D	L / -	L / -	- / -	- / -	- / -	-	-
CryENGINE (Aion: Tower of Eternity; Far Cry)	CGF,CHR	L / -	L / -	- / -	L / -	L / -	Automatic	/
CryENGINE2 (Crysis)	(CGF,CHR)/MTL	L / -	- / -	- / -	L / -	Gen. / -	Checked	/
CrystalSpace	XML	L / -	- /	- /	- /		/	/
Custom Maid 3D 2	MODEL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Cyanide Studio's game engine (Aarklash: Legacy; Blood Bowl 2; Confrontation; Dogs of War Online)	CEF	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
CyberMotion ASCII	CMO	L /	L /	- / -	- / -	- / -	-	-
Cyber Studio CAD-3D	3D2	L / S	L / -	- / -	- / -	- / -	-	-
Dark Planet: Battle for Natrolis	C3D	L /	- / -	- / -	- / -	- / -	/	/
Darkstone	O3D	L / -	L / -	- / -	L / -	L / -	Automatic	/
Darwinia	SHP	L / S	- / -	L / S	- / -	- / -	-	-
DCC Virtual Reality LAB	DCC	L /	- / -	- / -	- / -	- / -	-	-
Dead Days	WTF	L /	L /	- /	L /	L /	Automatic	/
Dekaron (2 Moons)	MESH/TPACK	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
DeleD 3D Editor Map	DMF	L / S	L /	- / -	L /	L /	Automatic	/
DeleD 3D Editor Prefab	DPF	L / S	L /	- / -	L /	L /	Automatic	/
DeleD 3D Editor XML Scene	DXS	L /	L /	- / -	L /	L /	Automatic	/
Delta Force Land Warrior	3DI	L /	/	/	/	/	/	/
DesignWorkshop	DW	L / S	L / S	- / -	- / -	- / -	-	-
Devil Daggers	*	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Devil Daggers (packed)	dd file/*	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Digistar II.	VLA	- / S	- / -	- / -	- / -	- / -	-	-
Digital Reality	BMOD	L / -	- / -	- / -	L / -	Gen. / -	Automatic	/
Digital Reality	DRS	L / -	- / -	- / -	L / -	Gen. / -	Automatic	/
Dino and Aliens	MSH/CGO	L / -	L / -	- / -	L / -	L / -	Automatic	-
Dinosaur Fossil Hunter: Prologue	MESH	L / -	- / -	- / -	L / -	Gen. / -	MTFS	-
DirectX ASCII Frame	X	L / S	L / S	/	L / S	Gen. / Gen.	Automatic	/
DirectX ASCII Mesh	X	L / S	L / S	/	L / S	Gen. / Gen.	Automatic	/
DirectX Binary Mesh	X	L / S	/	/	L / S	Gen. / Gen.	MTFS	/
DIVE	VR	L / S	- / -	/	- / -	- / -	/	/
DOGA-L2	SUT/ATR	L / S	- / S	- / -	L / S	L / S	MTFS	/
DOOM 3	MD5MESH	L / -	L / -	- / -	L / -	Gen. / -	MTFS	/
Drafix CAD Port /Polygons only/	POR	L / S	- / -	- / -	- / -	- / -	-	-
Dragonborn Knight	MESH	L / -	L / -	- / -	L / -	Gen. / -	Checked	/
Dragonborn Knight	SKIN/SKEL	L / -	L / -	- / -	L / -	Gen. / -	Checked	L; L
Dragon Star Varnir	GXRESCOLLISIONMESH	L / -	- / -	- / -	- / -	- / -	-	-
Dragon Star Varnir	GXRESMODEL	L / -	- / -	- / -	L / -	Gen. / -	MTFS	-
Dragon Star Varnir	GXRESMODELEXT	L / -	- / -	- / -	L / -	Gen. / -	MTFS	-
Draw 4D	D4D	L / S	- / -	- / -	- / -	- / -	-	-
Draw 4D Pro	D4P	L / S	L / S	- / -	- / -	- / -	-	-
Draw3D	3D	L / S	- / -	- / -	- / -	- / -	-	-
Drawing for Children Symbol	TXT	L /	- /	- / -	- / -	- / -	-	-
DrawObjects /Polygons, Stars, SolidArrows only/	DOB	L / -	L / -	- / -	- / -	- / -	-	-
DS2 Engine (You Are Empty)	DS2MD	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
DUG Polygon	DUPOLY	L / S	L / -	- / -	- / -	- / -	-	-
DVS	VGF/VMF	L / S	L / S	/	L / S	L / S	Checked	/
DWOS CAD	ATT	L / -	L / -	/	- / -	- / -	-	/
DWOS CAD	CMF	L / -	L / -	/	- / -	- / -	-	/
DynaCADD Exchange Format	DEF	L / S	- / -	- / -	- / -	- / -	-	-
Dynamic Visualizer	AMS	/ S	- / S	/ -	/	/ -	/	/
E2 game engine (Trainz Railroad Simulator 2019)	TRAINZMESH/TEXTURE.TXT	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
E3D 3D Model Editor	3DO	L / S	L / S	- / -	- / -	- / -	-	-
EA Sports Fight Night Champion	GEOM	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
EA Sports MMA	*_GEOM	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
East India Company	BIN	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
East India Company	S3D	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Easymodel v1.x Object	OBD	L / S	- / -	/	- / -	- / -	-	-
Easymodel v2.x Object	OBQ	L / S	L / S	/	L /	L / -	/	/
Easymodel v2.x Scene	EMD	L /	L /	/	L /	L /	/	/
EASY-ROB IGRIP Partfile	IGP	L / S	L / -	- / -	- / -	- / -	-	-
ECGSIM	TRI	L / S	- / -	- / -	- / -	- / -	-	-
Eclipse Engine (War Inc. Battle Zone; The War Z)	SCB/MAT	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Edgebreaker OVtable	OV	L /	- /	- /	- /	- /	-	-
Effect3D Studio	SCX	L /	L /	L /	L /	Gen. /	/	/
Electric Image	FACT	L /	- /	/	/	/	/	/
Elite Force	WPK	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
EMSE Wireframe (minor rev=3)	WFR	L / S	- / -	- / -	- / -	- / -	-	-
Enemy Territory: QUAKE Wars	MD5B	L / -	L / -	- / -	L / -	Gen. / -	MTFS	/
Enemy Territory: QUAKE Wars	MD5MESH	L / -	L / -	/ -	L / -	Gen. / -	MTFS	/
EnSite DIF	XML	L / S	L / S-	- / -	- / -	- / -	-	-
Espresso3D	E3A	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Espresso3D	E3M	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
ESP Vision Scene	ESC	L / -	L / -	- / -	L / -	Gen. / -	MTFS	/
Eternal Lands	E3D	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Eternity (Big Rigs: Over the Road Racing)	SCO/MAT	L / S	L / S	- / -	L / S	L / S	Automatic	-
Euler 3D Text	ELT	L / -	- / -	- / -	- / -	- / -	-	-
Extended RAW Triangles	RAX	L /	L /	- / -	L /	L /	Automatic	/
Facet	FAC	L / S	L / S	- / -	- / -	- / -	-	-
Fastgraph	TXT	L / S	- / -	- / -	- / -	- / -	-	-
Ferentus, Herrcot, Xiones	CMH	L / -	- / -	- / -	- / -	- / -	-	-
Ferentus, Herrcot, Xiones (non character objects)	MSH	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Final Exam	GEO	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Final Fantasy 7	P	L / -	L / -	L / -	L / -	/ -	/	/
Flatland Rover	BLOCK	L / S	L / S	- / -	L / S	L / S	Checked	/
FlatOut 2	BGM	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
FlightSim Model	DAT	L / S	L / S	/	/	/	/	/
Flux Game Engine	PSO	L / -	- / -	/ -	/ -	/ -	/	/
Fly3D	F3D	L / -	- / -	L /	L /	Gen. / -	/	/
Forgelight engine (Free Realms; Star Wars: The Clone Wars Adventures)	DME/DSK	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ; -
Forger3D	M3D	L / -	L / -	- / -	L / -	L / -	Automatic	/
Fractal Detailer ASCII	VTX	L /	L /	- / -	L /	L /	/	/
Fractal Detailer Binary	VDU	L /	L /	- / -	L /	L /	/	/
FreeCAD Binary Mesh	BMS	L / S	- / -	- / -	- / -	- / -	-	-
FreeSurfer "New" Quadrangle Surface Binary	*	L / -	L /	- / -	L /	L /	-	-
FreeSurfer Quadrangle Surface Binary	*	L / -	- / -	- / -	- / -	- / -	-	-
FreeSurfer Triangle Surface ASCII	ASC	L / -	- / -	- / -	- / -	- / -	-	-
FreeSurfer Triangle Surface Binary	*	L / -	- / -	- / -	- / -	- / -	-	-
FreeSurfer Triangle Surface Patch ASCII	ASC	L / -	- / -	- / -	- / -	- / -	-	-
Frogger: The Great Quest (triangles only)	VTX;Y6T	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
GAEB REB-VB 22.013 DGM	REB	L / -	- / -	- / -	- / -	- / -	-	-
GameExchange 2 ASCII	GBF	L /	- /	/	/	/	/	/
GAMUT /without transformation/	AGT	L /	- /	- / -	- / -	- / -	-	-
Garfield Kart: Furious Racing	MESH	L / -	- / -	- / -	L / -	Gen. / -	MTFS	-
Gas Guzzlers Extreme	PEMB/MODEL	L / -	- / -	- / -	L / -	Gen. / -	Automatic	-
gCAD3D	GCAD	- / S	- / S	- / -	- / -	- / -	-	-
GDS things object / scene	000/INP	L / S	- / -	- / -	- / -	- / -	-	-
GEM 2 Engine (Call to Arms - Gates of Hell: Ostfront; Men of War: Vietnam; Men of War: Assault Squad 2)	PLY/MTL	L / -	- / -	- / -	L / -	Gen. / -	Automatic	-
GEM 2 Engine (Call to Arms - Gates of Hell: Ostfront; Men of War: Vietnam; Men of War: Assault Squad 2)	VOL	L / -	- / -	- / -	- / -	- / -	-	-
Generic Polygon Clipper (GPC)	GPF	L / -	- / -	- / -	- / -	- / -	-	-
Genesis Rising	GEOMB/GOBJ	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Genesis World Editor	3DT	L / -	- / -	- / -	- / -	- / -	-	-
GeoJSON [2D MultiPolygon]	GEOJSON	- / S	- / -	- / -	- / -	- / -	-	-
Geomview OOGL	OFF	L / S	L / S	L /	- / -	- / -	-	-
Geoscape3D Heightmap (XxX Short)	RAW	L / -	- / -	- / -	- / -	- / -	-	-
GEOSTAR	GEO	L / S	- / -	- / -	- / -	- / -	-	-
GFXFX Vector Object	GVO	L / S	- / -	/	/	/	/	/
GIANTS Engine Binary (Farming Simulator 2012, 2014)	P3D	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
GiD ASCII Mesh	MSH	/ S	/ S	/ -	/ -	/ -	-	-
GioGio's Bizarre Adventure (unpacked player, npc models only)	PZZ	L / -	L / -	L / -	L / -	Gen. / -	MTFS	/
GLBasic ASCII	DDA	L /	L /	- /	L /	L /	Automatic	/
GLC	GLC	L / S	L / -	- / -	- / -	- / -	-	-
Glest	G3D	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
GLF Font	GLF	L / -	- / -	- / -	- / -	- / -	-	-
GLView	3DV	- / S	- / -	- / -	- / -	- / -	-	-
Gmsh	POS	L / -	- / -	- / -	- / -	- / -	-	-
Gmsh ASCII Mesh	MSH	- / S	- / -	- / -	- / -	- / -	-	-
GNU Triangulated Surface Library	GTS	L /	L /	- / -	- / -	- / -	-	-
God Summoner	SM/VSM	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
God Summoner	SKIN/VSKIN	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Golgotha	GMOD	L / -	- / -	- / -	L / -	L / -	MTFS	/
Gouraud Shaded Vectors	V10	L / S	- /	- / -	/	/	-	-
GP 500	DK4	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Granado Espada	LMA	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L; /
Grand Chase	P3M	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
GRASP	SRF	L / -	- / -	- / -	- / -	- / -	-	-
Gray ASCII	XML	- / S	- / -	- / -	- / -	- / -	-	-
Gray Binary	BIN	- / S	- / -	- / -	- / -	- / -	-	-
Greenline Delimited	DLF	L /	- /	- / -	- /	- /	-	-
Greg Hood's ASCII Triangle	TRIA	L / S	- / -	- / -	- / -	- / -	-	-
Greg Hood's Binary Triangle	TRIB	L / S	- / -	- / -	- / -	- / -	-	-
Grin Engine (Bionic Commando, Lead and Gold: Gangs of the Wild West, Terminator Salvation, Wanted: Weapons of Fate)	DIESEL	L / -	- / -	- / -	L / -	Gen. / -	MTFS	-
Half-Life Studio Model	SMD	L /	L /	- / -	L /	L /	Automatic	/
Hammer Engine (Crossout, Star Conflict)	MDL-MSH*/MDF	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Happy Tree Friends: False Alarm	MDL	L / -	- / -	/ -	- / -	- / -	-	-
Havok Vision Engine (Azera Online)	MODEL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Haydee	MESH/MTL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
HEAT Online	SCX	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
HeeksCAD (STLSolid only)	HEEKS	L / S	L / S	- / -	- / -	- / -	-	-
Heightmap Conversion Software (HMCS) Binary	HMB	L / -	L / -	- / -	L / -	Gen. / -	MTFS	-
Helion	3DF	L / S	- / -	- / -	- / -	- / -	-	-
Helios Entity	ENT	- / S	- /	- / -	- / -	/	-	-
Hellgate London	AM	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Hellgate London	WM	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Hero Online, Knight Online	N3CSKINS	L / -	L / -	- / -	L / -	L / -	Automatic	/
Hero Online	N3PMESH	L / -	L / -	- / -	L / -	L / -	Automatic	/
Hexagon	HXN	L / -	- / -	- / -	- / -	- / -	-	-
Highlight Pro	OBT	L / S	- / -	- / -	- / -	/	-	-
Homeworld	PEO	L /	- /	- / -	/	/	/	/
Hot Wheels: World Race	ROM	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Hot Wheels: World Race	SHM	L / -	- / -	- / -	- / -	- / -	-	/
HOOPS 3D Metafile	HMF	/ S	- /	- / -	/	/	-	-
Horde3D Engine (v5;v6; Blocky Highway; Offroad Legends; Offroad Legends 2)	GEO/SCENE.XML/MATERIAL.XML or GEO/H3D	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ; L
Hostile Waters: Antaeus Rising	S01	L / -	L / -	- / -	L / -	Gen. / -	Automatic	-
Houdini ASCII	GEO	- / S	- / S	- /	- /	- /	-	-
Hugues Hoppe's M format	M	L / S	L / S	- / -	/	/	/	/
iCube Engine (Point Blank)	I3S	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Idea Spectrum Model (Realtime Landscaping Plus, Pro)	ISM	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
"II" Demo (TLS)	BIN	L /	- /	- / -	- /	- /	/	/
IGES (entity 106)	IGS	- / S	- / -	- / -	- / -	- / -	-	-
IGES (entity 110/102)	IGS	- / S	- / -	- / -	- / -	- / -	-	-
IGES (entity 116)	IGS	- / S	- / -	- / -	- / -	- / -	-	-
Illusion Viewer /without transformation/	X	L /	- /	- /	L /	Gen. /	/	/
Imagemaster shape	ISH	/ S	/ -	- / -	/ -	/ -	-	-
Imagine	OBJ	L /	L /	- / -	- /	- /	-	-
Indexed Face Set (IFS)	IFS	L / S	- / -	- / -	L /	Gen. /	/	/
Insane	FFF	L / -	L / -	- / -	L / -	Gen. /	Automatic	/
"Insane" Demo	R3D	L / S	- / -	- / -	L / S	Gen. / -	/	/
InSpeck FAPS	NET	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Interactive Computer Graphics Triangle	TRI	L / S	L / S	- / -	- / -	- / -	-	-
iOS Activity Achievement Badges	BDG	L / -	L / -	- / -	L / -	Gen. / -	MTFS	/
I.T.R.	TER,LST	L / -	- / -	- / -	- / -	- / -	-	-
I.T.R. ASCII	DAT	- / S	- / -	- / -	- / -	- / -	-	-
I.T.R. (p1,y1,x1,p2,y2,x2)	DAT	- / S	- / -	- / -	- / -	- / -	-	-
IRIS Inventor V1.0 ASCII	IV	L / S	- / -	/	/	/	/	/
IRIS Inventor V2.0 Binary	IV	L / S	- / -	- / -	/	/	/	/
IRIS Inventor V2.1 Binary	IV	L / S	- / -	- / -	/	/	/	/
IRIT	DAT	- / S	- / -	- / -	- / -	- / -	-	-
IRIT	IRT	- / S	- / -	- / -	- / -	- / -	-	-
"I Want To Be Machine" DEMO	OBJ	L / S	- / -	- / -	- / -	- / -	-	-
Jane's ® Combat Simulations USAF	P3D	L /	L /	- / -	L /	Gen. /	/	/
Jane's ® Combat Simulations WW2 Fighters	J3T	L / -	- / -	- / -	- / -	- / -	/	/
Jane's ® F-18	3DG	L / -	L / -	- / -	L / -	L / -	Automatic	/
JavaView	JVX	L / -	- / -	- / -	- / -	- / -	-	-
Jaw3D	JAW	L / S	- / -	- / -	- / -	- / -	-	-
J-Cad Alpha CSV	*	- / S	- / S	- / -	- / -	- / -	-	-
Jedi Knight 3DO	3DO	L /	- /	- / -	L /	L /	/	/
JellyCar	SOFTBODY	L / -	L / -	- / -	- / -	- / -	-	-
JEZZ 3D ENGINE	JEO	L / S	- / -	- / -	- / -	- / -	-	-
Joymax (Silkroad Online)	BMS	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
JViewer	FAC	L / S	- / -	- / -	- / -	- / -	-	-
JZB	IFL	/ S	/ S	/ -	/ -	/ -	-	-
Kerkythea ASCII	XML	L /	L /	- /	L /	Gen. /	Automatic	/
Keroro Online	MSH	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Kill la Kill IF	MDL	L / -	L / -	L / -	L / -	Gen. / -	MTFS	L ; -
Kingpin Model	MDX	L /	- /	- / -	/	/	/	/
Kray /Triangles only/	SC	L / S	- / S	- / -	- / -	- / -	-	-
Laghaim (unprotected .csy)	CSY/BPD	L / -	L / -	- / -	L / -	Gen. / -	Checked	L ; L
Laghaim	LOL	L / -	L / -	- / -	L / -	Gen. / -	Checked	-
LandXML TIN Surfaces	XML	L / S	- / -	- / -	- / -	- / -	-	-
LDraw /Triangles, quads only/	LDR, DAT	L / S	L / -	- / -	- / -	- / -	-	-
League of Angels � Heaven's Fury	MESH/MTL	L / -	L / -	- / -	L / -	L / -	Automatic	-
League of Legends	SCO/INIBIN	L / S	L / S	- / -	L / S	L / S	Automatic	-
League of Legends (the new .skl format is not supported)	SKN/SKL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ; L
League of Legends	WGEO	L / -	L / -	- / -	L / -	Gen. / -	Automatic	-
Legend of Grimrock	MESH/MATERIALS	L / -	L / -	- / -	L / -	Gen. / -	Automatic	-
Legend of Grimrock	MODEL/MATERIALS	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ;
Leveller Reference Shapes /Triangles/	LSL	/ S	/ S	/ -	/ -	/ -	-	-
Life Forms ASCII	LF	L / S	- / -	- / -	- / -	- / -	-	-
Light Map Maker ASCII Scene	TXT,TSE	L / -	- / -	- / -	L / -	Gen. / -	Checked	/
Light Map Maker Mesh	TRI	L / S	- / -	- / -	L / S	Gen. / -	Checked	/
Lightscape	LP	L /	L /	- / -	- /	/	-	-
LightWave 3D Lscript	LS	- / S	- / -	- / -	- / S	- / Gen.	Checked	/
LightWave 3D v5.x	LWO	L / S	L / S	- / -	- / -	- / -	-	-
LightWave 3D v6.x	LWO	L / -	- / -	L / -	L / -	Gen. / -	Checked	/
Linden Binary Mesh (Second Life)	LLM	L / -	- / -	- / -	L / -	L / -	MTFS	/
LinuxCAD (3D Face)	DXS	L / -	L / -	- / -	- / -	- / -	-	-
LithTech ASCII	LTA	L /	L / -	L /	/	/	/	/
Little Britain: The Video Game	GEO	L / -	L / -	- / -	L / -	Gen. / -	Automatic	-
Live for Speed	CMX	L / -	- / -	L / -	L / -	Gen. / -	/	/
LONI	TM	L / S	- / -	- / -	- / -	- / -	-	-
Looking Glass Studios	E	L / -	L / -	- / -	L / -	L / -	Automatic	/
Loong: The Power of the Dragon	FSCN	L / -	L / -	- / -	L / -	G / -	Automatic	/
Loong: The Power of the Dragon	FSKIN	L / -	L / -	- / -	L / -	G / -	Automatic	/
Loong: The Power of the Dragon	FSM	L / -	L / -	- / -	L / -	G / -	Automatic	/
Lost Saga Online	MSH	L / -	L / -	- / -	L / -	G / -	Automatic	/
LS-DYNA Keyword ASCII (*NODE,*ELEMENT_SOLID,*ELEMENT_SHELL)	KEY	L / -	L / -	- / -	- / -	- / -	-	-
Luna Online	MOD	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Lune of Eden	COL	L / -	- / -	- / -	- / -	- / -	-	-
Lune of Eden	MES	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Lunia Online	SKINNEDMESH/XML	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Luxology Modo	LXO	L / -	- / -	- / -	L / -	Gen. / -	Checked
Mad Virgin Object (Will of Steel)	MVO	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Maestia Online	MMF	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Maestro 3D Dental Studio	AM;EM;BM;BMK	L / -	- / -	- / -	- / -	- / -	-	-
Maestro 3D Dental Studio	M	L / S	- / -	- / -	- / -	- / -	-	-
Magic Camera	MCO	- / S	- / S	- / -	/	/	/	/
Majesty 2: The Fantasy Kingdom Sim	MESH/MATERIAL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Manchester Scene Description Language	MSDL	L / S	- / -	- / -	- / -	- / -	-	-
Maple Input	MPL	- / S	- / S	- / -	- / -	- / -	-	-
MapInfo	MIF	L / -	- / -	- / -	- / -	- / -	-	-
MarbleCLAY	MCL	L /	L /	/	/	/	/	/
Marcin Vorbrodt's CMF Format	CMF	L /	- /	- /	/	/	/	/
Marmoset	MESH	L / -	L / -	- / -	L / -	Gen. / -	MTFS	/
Marzipan	VTP	L /	- /	- /	L /	L /	Checked	/
Massive /without transformation/	MASSIVE	L! /	L /	- / -	- /	- /	/	/
Materialize 3D!	M3D	L / S	- / -	/	/	/	/	/
Materials and Geometry Format	MGF	- / S	- / -	/	- / -	- / -	-	-
Mathematica 3-Script (polygons only)	TS	L / S	- / -	- / -	- / -	- / -	-	-
Matt3D Designer	LL	- / S	- / -	- / -	- / -	- / -	-	-
Matt3D Designer	Z80	- / S	- / -	- / -	- / -	- / -	-	-
Maxon Cinema 4D XL v5.x	C4D	L /	/	- /	/	/	/	/
Medit	MESH/MEDIT	L / S	L / S	- / -	- / -	- / -	-	-
Megahedron SMPL	SMPL	L / S	L / S	/	- / -	- / -	-	-
Mercury Steam Engine (Castlevania: Lords of Shadow)	MSH	L / -	- / -	- / -	L / -	Gen. / -	Automatic	/
Mercury Steam Engine (Castlevania: Lords of Shadow)	SM3	L / -	- / -	- / -	L / -	Gen. / -	Automatic	/
Mercury Steam Engine (Clive Barker's Jericho; Scrapland)	SM3	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Mercury Steam Engine 2 (Castlevania: Lords of Shadow 2; Raiders of the Broken Planet)	MSH	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Metasequoia	MQO	L / S	L / S	- / -	L / S	L / S	Automatic	/
MetropoLight	MLT/MSL	L / -	L / -	- / -	L / -	L / -	Checked	/
MH KARTÜ DDM ASCII	ASC	L / -	- / -	- / -	- / -	- / -	-	-
MH KARTÜ DDM Binary	DDM	L / -	- / -	- / -	- / -	- / -	-	-
Michael Garland's SMF	SMF	L / S	- / -	L /	- / -	- / -	-	-
MicroLathe	LAT	L / -	- / -	- / -	- / -	- / -	-	-
MicroProse (Gunship!)	3DB	L / -	L / -	- / -	L / -	L / -	Automatic	-
MicroProse (European Air War; Fleet Defender Gold; Gunship!)	3DZ	L / -	L / -	- / -	L / -	L / -	Automatic	-
MicroStation Command File	*	- / S	- / -	- / -	- / -	- / -	-	-
MicroStation Macro	BAS	- / S	- / -	- / -	- / -	- / -	-	-
Midnight Club 3: DUB Edition	EM	L / -	- / -	- / -	- / -	- / -	-	-
Midnight Club 3: DUB Edition	MESH/TYPE	L / -	L / -	- / -	L / -	Gen. / -	Automatic	-
Midtown Madness 2	PKG	L /	- /	/	L /	Gen. /	/	/
Midtown Madness ARTS	GEO	L /	L /	- / -	- /	- /	-	-
Might & Magic Heroes VI	GOBJ	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ;
MikuMikuDance	PMD	L / -	L / -	- / -	L / -	Gen. /	Automatic	L ; L
MikuMikuDance	PMX	L / -	L / -	- / -	L / -	Gen. /	Automatic	L ; L
MilkShape 3D ASCII	TXT	L /	- /	- / -	L /	Gen. /	Checked	/
MilkShape 3D Binary	MS3D	L /	- /	- / -	L /	L /	Checked	/
MilkShape 3D Text	TXT	L /	- /	- / -	L /	L /	MTFS	/
MiniCAD Text	TXT	L / S	- / -	- / -	- / -	- / -	-	-
Misfit 3D Model	MM3D	L / -	- / -	- / -	L / -	L / -	MTFS	/
Monster Trucks Madness 1&2	BIN	L	L	- / -	/	/	/	/
Moonlight Creator RAW	MLRAW	L / S	- / -	/	- / -	- / -	-	-
MORAY User Defined Object	UDO	L / S	- / -	- / -	- / -	- / -	-	-
Morfit World ASCII	WLD	L / S	L / S	L / S	L / S	L / S	Automatic	/
Mortar Engine (Fruit Ninja)	BINMODEL	L / -	L / -	- / -	L / -	Gen. / -	Checked	/
Mortar Engine (Fruit Ninja)	MMD	L / -	L / -	- / -	L / -	Gen. / -	Checked	/
Motocross Madness 2	SLT	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
MOVIE.BYU	BYU	- / S	- / -	- / -	- / -	- / -	-	-
MU Archangel	37	L / -	- / -	- / -	L / -	Gen. / -	MTFS	/
Muhon (Wuhun)	MSH	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
MU Online (uncoded simple object)	BMD	L / -	L / -	- / -	L / -	L / -	Automatic	/
My3DEngine	M3D	L / S	L / S	- / -	- / -	- / -	-	-
My Hero Academia: The Strongest Hero	AXMD	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L / S ; - / -
Nav N Go iGO 8	MDL	L / S	- / -	L / S	L / S	Gen. / Gen.	Checked	/
NCsoft (Auto Assault, Tabula Rasa)	GEO	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ;
NeoEngine ASCII	NSCE	L / S	L / S	- / -	L / S	Gen. / Gen.	Automatic	/
Neon Grafix 3D	SHP	L / -	- / -	- / -	- / -	- / -	-	-
NeoX Engine	MESH/GIM/MTG	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Neuro	SMDL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Neutral File Format [NFF]	NFF	L / S>	L / S	- / -	- / -	- / -	-	-
Neverwinter Nights 2	MDB	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
Neverwinter Nights Enhanced Edition	MDL	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
NEX Model	NEX	L / -	L / -	- / -	L / -	Gen. / -	Automatic	L ; L
Next Limit Scene Data	SD	L / -	L / -	- / -	L / -	L / -	Automatic	/
Nichimen	GEO	L / S	- / -	- / -	- / -	- / -	-	-
Nicktoons Racing	GEO	L / -	L / -	- / -	L / -	Gen. / -	Automatic	/
